data,preco_medio,media_3_anos
1987-06-01,18.865666666666666,18.865666666666666
1987-07-01,19.846451612903227,19.846451612903227
1987-08-01,19.000967741935483,19.000967741935483
1987-09-01,18.310333333333332,18.310333333333332
1987-10-01,18.77193548387097,18.77193548387097
1987-11-01,17.815333333333335,17.815333333333335
1987-12-01,17.06935483870968,17.06935483870968
1988-01-01,16.82774193548387,16.82774193548387
1988-02-01,15.669655172413794,15.669655172413794
1988-03-01,14.75290322580645,14.75290322580645
1988-04-01,16.453666666666667,16.453666666666667
1988-05-01,16.348709677419354,16.348709677419354
1988-06-01,15.594,15.594
1988-07-01,14.926451612903227,14.926451612903227
1988-08-01,14.868387096774194,14.868387096774194
1988-09-01,13.243666666666666,13.243666666666666
1988-10-01,12.44,12.44
1988-11-01,13.055333333333332,13.055333333333332
1988-12-01,15.303548387096775,15.303548387096775
1989-01-01,17.168709677419354,16.82774193548387
1989-02-01,16.87392857142857,15.669655172413796
1989-03-01,18.766451612903225,14.75290322580645
1989-04-01,20.295,16.453666666666667
1989-05-01,18.68322580645161,16.955879765395903
1989-06-01,17.67733333333333,17.229833333333332
1989-07-01,17.630967741935482,17.386451612903226
1989-08-01,16.76032258064516,16.934677419354838
1989-09-01,17.74866666666667,15.777000000000005
1989-10-01,18.906451612903226,15.605967741935483
1989-11-01,18.752,15.435333333333336
1989-12-01,19.87290322580645,16.186451612903227
1990-01-01,21.384838709677418,21.384838709677418
1990-02-01,19.80535714285714,19.80535714285714
1990-03-01,18.411290322580644,18.411290322580644
1990-04-01,16.551333333333336,16.551333333333336
1990-05-01,16.33483870967742,16.33483870967742
1990-06-01,15.141666666666667,15.141666666666667
1990-07-01,17.169999999999998,17.169999999999998
1990-08-01,27.287419354838708,27.287419354838708
1990-09-01,34.635999999999996,34.635999999999996
1990-10-01,36.138064516129035,36.138064516129035
1990-11-01,33.04266666666667,33.04266666666667
1990-12-01,28.313870967741938,28.313870967741938
1991-01-01,23.44741935483871,23.44741935483871
1991-02-01,19.497142857142855,19.497142857142855
1991-03-01,18.984193548387097,18.984193548387097
1991-04-01,19.204666666666665,19.204666666666665
1991-05-01,19.169677419354837,19.169677419354837
1991-06-01,18.237666666666666,18.237666666666666
1991-07-01,19.455161290322582,19.455161290322582
1991-08-01,19.738387096774193,19.738387096774193
1991-09-01,20.536333333333335,20.536333333333335
1991-10-01,22.234193548387097,22.234193548387097
1991-11-01,21.186,21.186
1991-12-01,18.493225806451612,18.493225806451612
1992-01-01,18.14290322580645,18.14290322580645
1992-02-01,18.111724137931034,18.111724137931034
1992-03-01,17.63193548387097,17.63193548387097
1992-04-01,18.91033333333333,18.91033333333333
1992-05-01,19.878387096774194,19.878387096774194
1992-06-01,21.186666666666667,21.186666666666667
1992-07-01,20.269032258064517,20.269032258064517
1992-08-01,19.779999999999998,19.779999999999998
1992-09-01,20.265333333333334,20.265333333333334
1992-10-01,20.266774193548386,20.266774193548386
1992-11-01,19.203666666666667,19.203666666666667
1992-12-01,18.18548387096774,18.18548387096774
1993-01-01,17.46483870967742,17.46483870967742
1993-02-01,18.495714285714286,18.495714285714286
1993-03-01,18.812258064516126,18.812258064516126
1993-04-01,18.654333333333334,18.654333333333334
1993-05-01,18.52741935483871,18.52741935483871
1993-06-01,17.628,17.628
1993-07-01,16.746129032258064,16.746129032258064
1993-08-01,16.729032258064517,16.729032258064517
1993-09-01,15.969333333333333,15.969333333333333
1993-10-01,16.583225806451615,16.583225806451615
1993-11-01,15.166666666666666,15.166666666666666
1993-12-01,13.708387096774192,13.708387096774192
1994-01-01,14.21258064516129,19.68505376344086
1994-02-01,13.784285714285714,18.68781074578989
1994-03-01,13.852903225806452,18.476129032258065
1994-04-01,14.979000000000001,18.923111111111105
1994-05-01,16.15032258064516,19.191827956989247
1994-06-01,16.762333333333334,19.01744444444445
1994-07-01,17.655161290322578,18.823440860215054
1994-08-01,16.813225806451616,18.749139784946237
1994-09-01,15.883666666666667,18.92366666666667
1994-10-01,16.510967741935485,19.694731182795703
1994-11-01,17.195666666666668,18.518777777777775
1994-12-01,15.899677419354838,16.79569892473118
1995-01-01,16.52806451612903,16.52806451612903
1995-02-01,17.135357142857142,17.135357142857142
1995-03-01,16.96483870967742,16.96483870967742
1995-04-01,18.559,18.559
1995-05-01,18.32709677419355,18.32709677419355
1995-06-01,17.34466666666667,17.34466666666667
1995-07-01,15.885806451612902,15.885806451612902
1995-08-01,16.10483870967742,16.10483870967742
1995-09-01,16.692999999999998,16.692999999999998
1995-10-01,16.08967741935484,16.08967741935484
1995-11-01,16.875999999999998,16.875999999999998
1995-12-01,17.958709677419357,17.958709677419357
1996-01-01,17.872258064516128,17.872258064516128
1996-02-01,17.95310344827586,17.95310344827586
1996-03-01,19.782258064516128,19.782258064516128
1996-04-01,20.867666666666665,20.867666666666665
1996-05-01,19.1658064516129,19.1658064516129
1996-06-01,18.441666666666666,18.441666666666666
1996-07-01,19.571290322580648,19.571290322580648
1996-08-01,20.517419354838708,20.517419354838708
1996-09-01,22.603333333333335,22.603333333333335
1996-10-01,24.187741935483867,24.187741935483867
1996-11-01,22.826666666666664,22.826666666666664
1996-12-01,23.740322580645163,23.740322580645163
1997-01-01,23.54064516129032,23.54064516129032
1997-02-01,21.06,21.06
1997-03-01,19.190645161290323,19.190645161290323
1997-04-01,17.549,17.549
1997-05-01,19.067741935483873,19.067741935483873
1997-06-01,17.562333333333335,17.562333333333335
1997-07-01,18.396451612903224,18.396451612903224
1997-08-01,18.57967741935484,18.57967741935484
